score,author,content,description,publishedAt,source,title,url,urlToImage
0,Nick Douglas,"Hurricane Michael will be devastating. Weve written how to track Michaels path online, and how to stay safe during a hurricane. Heres how to watch Hurricane Michael on webcam as it hits the Florida panhandle from the Gulf. Michael is then projected to tear th… [+1175 chars]","Hurricane Michael will be devastating. We’ve written how to track Michael’s path online, and how to stay safe during a hurricane. Here’s how to watch Hurricane Michael on webcam as it hits the Florida panhandle from the Gulf. Michael is then projected to tear…",2018-10-10T13:40:00Z,"{'id': None, 'name': 'Lifehacker.com'}",How to Watch Live Video of Hurricane Michael Online,https://lifehacker.com/how-to-watch-live-video-of-hurricane-michael-online-1829650370,"https://i.kinja-img.com/gawker-media/image/upload/s--c2NSwBNn--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/uykf08y4lrmmowdbsxet.jpg"
1,A.A. Newton,"Large portions of the southeastern United States are preparing for Hurricane Michael, which will make landfall tomorrow morning. The storm has been steadily gaining momentum as it nears the Florida Gulf Coast, and is predicted to reach category 3 strength by … [+681 chars]","Large portions of the southeastern United States are preparing for Hurricane Michael, which will make landfall tomorrow morning. The storm has been steadily gaining momentum as it nears the Florida Gulf Coast, and is predicted to reach category 3 strength by …",2018-10-09T16:30:00Z,"{'id': None, 'name': 'Lifehacker.com'}",How to Track Hurricane Michael,https://lifehacker.com/how-to-track-hurricane-michael-1829623590,"https://i.kinja-img.com/gawker-media/image/upload/s--hzcSBGI_--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/pnasn6uokt6ionyi71je.jpg"
2,Aimée Lutkin,"On Wednesday afternoon, the Florida panhandle was hit with Hurricane Michael. It began as a Category 4 hurricane, and was placed in Category 3 by the time it reached Georgiaunprecedented for the area. Powerful winds and rains are expected throughout Thursday … [+2379 chars]","On Wednesday afternoon, the Florida panhandle was hit with Hurricane Michael. It began as a Category 4 hurricane, and was placed in Category 3 by the time it reached Georgia—unprecedented for the area. Powerful winds and rains are expected throughout Thursday…",2018-10-11T14:37:00Z,"{'id': None, 'name': 'Lifehacker.com'}",How to Help People Affected by Hurricane Michael,https://lifehacker.com/how-to-help-people-affected-by-hurricane-michael-1829674520,"https://i.kinja-img.com/gawker-media/image/upload/s--JRbJcBVi--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/iyqgijst0bh8qls26c0u.jpg"
3,Megan Molteni,"Last Wednesday, Hurricane Michael slammed into the Florida Panhandle at 155 miles per hour, flattening neighborhoods, turning subdivisions into rubble, and plunging the coast into darkness. On Friday, Trevor Lewis packed up two trucks with crowbars, chainsaws… [+7733 chars]","Crowdsource Rescue, a kind of \""Uber for emergencies,\"" has become the leading tool to coordinate volunteer rescuers, helping them check on hundreds of vulnerable individuals.",2018-10-18T19:03:55Z,"{'id': 'wired', 'name': 'Wired'}",An App Built for Hurricane Harvey Is Now Saving Lives in Florida,https://www.wired.com/story/an-app-built-for-hurricane-harvey-is-now-saving-lives-in-florida/,https://media.wired.com/photos/5bc789e4a25f0713c580d540/191:100/pass/michael-1052290194.jpg
4,Adam Rogers,"Michael introduced itself to North America with 155-mile-per-hour gusts of wind and a barometric pressure of 919 millibars, the third-strongest hurricane to ever make continental US landfall. It was a monster, and it stayed a monster as it rolled through Geor… [+4119 chars]","The phenomenon known as 'rapid intensification' used to be rare. With climate change, this most deadly type of hurricane is becoming more common.",2018-10-11T15:00:14Z,"{'id': 'wired', 'name': 'Wired'}","How Hurricane Michael Got Super Big, Super Fast",https://www.wired.com/story/how-hurricane-michael-got-super-big-super-fast/,https://media.wired.com/photos/5bbeb38f2ba3661093860ce7/191:100/pass/michael_18283803721305.jpg
5,Aarian Marshall,"On Wednesday morning, Hurricane Michael barreled through the Florida panhandle. The most powerful storm to hit the region since record-keeping began in the mid-19th century ran roughshod over the states northwest coasts, damaging two local hospitals enough th… [+3996 chars]","What's really scary is that as climate change brings fiercer storms, more places must learn to prepare for disaster.",2018-10-11T23:30:18Z,"{'id': 'wired', 'name': 'Wired'}",Hurricane Michael Hit the Parts of Florida Least Prepared to Flee Its Wrath,https://www.wired.com/story/hurricane-michael-florida-evacuation-plans/,https://media.wired.com/photos/5bbf927a0f3ae02cf6c59026/191:100/pass/michaelpreparation.jpg
6,Rachel Becker,"After intensifying overnight, Hurricane Michael is now pummeling the Florida Panhandle as a Category 4 storm — the strongest hurricane on record to ever strike the region. Hundreds of thousands of people have been ordered to evacuate as Michael’s winds top sp… [+8691 chars]","After intensifying overnight, Hurricane Michael is on track to pummel the Florida Panhandle on October 10th as a Category 4 storm. It’s the strongest hurricane on record that the region has ever seen with winds reaching speeds of 145 miles per hour, and storm…",2018-10-10T17:48:50Z,"{'id': 'the-verge', 'name': 'The Verge'}",How Hurricane Michael became catastrophically strong overnight,https://www.theverge.com/2018/10/10/17960272/hurricane-michael-category-strength-florida-panhandle-intensity,https://cdn.vox-cdn.com/thumbor/XpYtmhZmw4gMNjyp4ClLg0aaieU=/0x104:654x446/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/13249023/000.png
7,Rachel Becker,"When Hurricane Michael crashed into the Florida Panhandle on October 10th, the storm cut power to parts of Florida and Georgia in its path, new NASA images show. The pictures are a stark reminder of our energy infrastructure’s vulnerability to natural disaste… [+1851 chars]","When Hurricane Michael crashed into the Florida Panhandle on October 10th, the storm cut power to parts of Florida and Georgia that were in its path, new NASA images show. At this point, the number of customers without power has dropped to 163,000 from the 2.…",2018-10-16T19:16:13Z,"{'id': 'the-verge', 'name': 'The Verge'}",NASA photo shows where Hurricane Michael turned out the lights,https://www.theverge.com/2018/10/16/17984364/hurricane-michael-power-outages-electricity-nasa-earth-observatory,https://cdn.vox-cdn.com/thumbor/G3cD4JvqgA-y5unFKVSEwBuY4ok=/0x52:720x429/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/13280829/michael_vir_2018285.jpg
8,James Vincent,"President Donald Trump has been a long-time climate change denier, suggesting that the concept was “created by and for the Chinese in order to make US manufacturing non-competitive.” But, in an interview with CBS’ 60 Minutes last night he backed away slightly… [+2238 chars]","US President Donald Trump said in an interview that he no longer believes climate change is a hoax. But, the president added that he did not believe the warming of the planet was necessarily caused by humans, and suggested it might “change back.”",2018-10-15T09:10:50Z,"{'id': 'the-verge', 'name': 'The Verge'}",Trump admits climate change isn’t a hoax but suggests ‘it’ll change back’,https://www.theverge.com/2018/10/15/17977596/donald-trump-climate-change-hoax-60-minutes-interview,https://cdn.vox-cdn.com/thumbor/k8AJ8XxN-OxBetxlgKLCdpkHLz0=/0x318:4500x2674/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/13271859/1052067124.jpg.jpg
9,"Brian Kahn on Earther, shared by Andrew Couts to Gizmodo","Less than a month after facing down Florence, the U.S. faces another historic storm. Hurricane Michael is churning its way toward Floridas Panhandle as a Category 4 monster. As of 7 a.m. on Wednesday, the storms winds were roaring at a sustained 145 mph with … [+1938 chars]","Less than a month after facing down Florence, the U.S. faces another historic storm. Hurricane Michael is churning its way toward Florida’s Panhandle as a Category 4 monster. Read more...",2018-10-10T13:08:00Z,"{'id': None, 'name': 'Gizmodo.com'}",Hurricane Michael's 'Unprecedented' Threat: Liveblog,https://earther.gizmodo.com/category-4-hurricane-michael-poses-unprecedented-threat-1829649930,"https://i.kinja-img.com/gawker-media/image/upload/s--MkN_WMEp--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/ll0omdzqjys8syga0mtq.jpg"
10,"Yessenia Funes on Earther, shared by Andrew Couts to Gizmodo","Not even a week has passed since Hurricane Michael made landfall in the Florida Panhandle as a Category 4 storm, obliterating much of the infrastructure in its path. Despite the fair warning before impact, the state Department of Corrections failed to evacuat… [+3562 chars]","Not even a week has passed since Hurricane Michael made landfall in the Florida Panhandle as a Category 4 storm, obliterating much of the infrastructure in its path. Despite the fair warning before impact, the state Department of Corrections failed to evacuat…",2018-10-15T20:48:00Z,"{'id': None, 'name': 'Gizmodo.com'}","Florida Evacuates 4,000 Inmates From Prisons Damaged by Hurricane Michael",https://earther.gizmodo.com/florida-evacuates-4-000-inmates-from-prisons-damaged-by-1829765012,"https://i.kinja-img.com/gawker-media/image/upload/s--tb3I69wt--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/sxl3vbu1rcwsfhvfarou.jpg"
11,"Brian Kahn on Earther, shared by Tom McKay to Gizmodo","Hurricane Michael is on track to make landfall in Floridas Panhandle Wednesday as one of the fiercest storms the region has ever seen. While Florence drenched the Carolinas with record rainfall and other hurricanes attack with wind, Michaels main threat will … [+2436 chars]","Hurricane Michael is on track to make landfall in Florida’s Panhandle Wednesday as one of the fiercest storms the region has ever seen. While Florence drenched the Carolinas with record rainfall and other hurricanes attack with wind, Michael’s main threat wil…",2018-10-09T20:10:00Z,"{'id': None, 'name': 'Gizmodo.com'}",Why Hurricane Michael Could Bring 13 Feet of Storm Surge,https://earther.gizmodo.com/why-hurricane-michael-could-bring-12-feet-of-storm-surg-1829632584,"https://i.kinja-img.com/gawker-media/image/upload/s--Ady3QwLl--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/nnk6hogpkvljxa8wzbuf.jpg"
12,"Yessenia Funes on Earther, shared by Andrew Couts to Gizmodo","As Hurricane Michael whirled toward Florida over a week ago, Meg Baldwin went into overdrive. As executive director of Refuge House, which works to end domestic violence in the Big Bend, she had to ensure her organization was ready for what she knew was comin… [+5745 chars]","As Hurricane Michael whirled toward Florida over a week ago, Meg Baldwin went into overdrive. As executive director of Refuge House, which works to end domestic violence in the Big Bend, she had to ensure her organization was ready for what she knew was comin…",2018-10-19T17:33:00Z,"{'id': None, 'name': 'Gizmodo.com'}",Surge in Domestic Violence Feared in Wake of Hurricane Michael,https://earther.gizmodo.com/surge-in-domestic-violence-feared-in-wake-of-hurricane-1829866881,"https://i.kinja-img.com/gawker-media/image/upload/s--H4N0t9h0--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/mwj0kgiyko6pocuc0qa8.jpg"
13,Dell Cameron,The head of the Federal Communications Commission on Tuesday slammed wireless carriers over what he described as unsuitably slow progress in restoring communications in the aftermath of Hurricane Michael. Even though efforts to restore communications services… [+2518 chars],The head of the Federal Communications Commission on Tuesday slammed wireless carriers over what he described as unsuitably slow progress in restoring communications in the aftermath of Hurricane Michael. Read more...,2018-10-16T22:55:00Z,"{'id': None, 'name': 'Gizmodo.com'}",FCC Butts Heads With Wireless Carriers Over Hurricane Michael Response,https://gizmodo.com/fcc-butts-heads-with-wireless-carriers-over-hurricane-m-1829797679,"https://i.kinja-img.com/gawker-media/image/upload/s--wJEVps__--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/rqglsnks5hqlxl9npy9k.jpg"
14,"Tom McKay on Earther, shared by Tom McKay to Gizmodo","Hurricane Michael, an unprecedented storm that slammed into the Florida Panhandle at Category 4 strength, may well be an arbiter of things to come in a world where climate change is poised to make such devastating hurricanes all the more likely. But it also g… [+3285 chars]","Hurricane Michael, an unprecedented storm that slammed into the Florida Panhandle at Category 4 strength, may well be an arbiter of things to come in a world where climate change is poised to make such devastating hurricanes all the more likely. But it also g…",2018-10-22T00:05:00Z,"{'id': None, 'name': 'Gizmodo.com'}",Report: Hurricane Michael's Storm Surge Dredged Up 119-Year-Old Vessels Wrecked By Carrabelle Hurricane,https://earther.gizmodo.com/report-hurricane-michaels-storm-surge-dredged-up-119-y-1829898375,"https://i.kinja-img.com/gawker-media/image/upload/s--frU3djWC--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/obneaql61seyozxjo7j0.jpg"
15,Dell Cameron,"The Federal Communications Commission on Friday released an update regarding areas suffering wireless, cable, and radio service outages due to Hurricane Michael, which made landfall near Bay County, Florida, on Wednesday. As of today, Hurricane Michael has ha… [+1573 chars]","The Federal Communications Commission on Friday released an update regarding areas suffering wireless, cable, and radio service outages due to Hurricane Michael, which made landfall near Bay County, Florida, on Wednesday. Read more...",2018-10-12T22:25:00Z,"{'id': None, 'name': 'Gizmodo.com'}","Widespread Cable, Internet, and Radio Outages Follow Hurricane Michael's Path of Destruction",https://gizmodo.com/widespread-cable-internet-and-radio-outages-follow-hu-1829721185,"https://i.kinja-img.com/gawker-media/image/upload/s--OiXvtDO8--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/ho5dlccwvs6kpcoq1dib.jpg"
16,"Tom McKay on Earther, shared by Tom McKay to Gizmodo","The death toll from Hurricane Michael, an unprecedented storm which slammed into the Florida Panhandle near Mexico Beach at Category 4 strength last week, is expected to rise from the latest count of 18 across the states of Florida, Georgia, North Carolina an… [+3664 chars]","The death toll from Hurricane Michael, an unprecedented storm which slammed into the Florida Panhandle near Mexico Beach at Category 4 strength last week, is expected to rise from the latest count of 18 across the states of Florida, Georgia, North Carolina an…",2018-10-13T19:15:00Z,"{'id': None, 'name': 'Gizmodo.com'}","Death Toll From Hurricane Michael Is Now at Least 18, and Expected to Keep Rising",https://earther.gizmodo.com/death-toll-from-hurricane-michael-is-now-at-least-18-a-1829732389,"https://i.kinja-img.com/gawker-media/image/upload/s--oFejgeYU--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/limncjrzi56ge3bcnfxt.jpg"
