score,author,content,description,publishedAt,source,title,url,urlToImage
0,CARLOTTA GALL,"ISTANBUL Turkish investigators have extended their inquiry into the suspected assassination of a dissident journalist by Saudi Arabian officials to three areas in or near Istanbul, a Turkish official said on Friday, while police officers and prosecutors quest… [+1599 chars]","An aerial view of Belgrad Forest in Istanbul, one of three sites investigators are said to be looking for evidence in the case of Jamal Khashoggi. He was last seen entering the Saudi Consulate on Oct. 2 and is thought to have been assassinated by Saudi agents.",2018-10-19T16:58:34Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Turks Search Far-Flung Sites and Question Workers in Case of Missing Journalist,https://www.nytimes.com/2018/10/19/world/europe/turkey-jamal-khashoggi-investigation.html,https://static01.nyt.com/images/2018/10/20/world/20turkey-saudi2/20turkey-saudi2-facebookJumbo.jpg
1,Gulsen Solaker,"ANKARA (Reuters) - Turkey’s president on Tuesday dismissed Saudi Arabia’s efforts to blame the killing of a prominent journalist on rogue operatives, calling it a planned, “savage killing”, and demanded Riyadh punish those responsible no matter how highly pla… [+5582 chars]","Turkey's president on Tuesday dismissed Saudi Arabia's efforts to blame the killing of a prominent journalist on rogue operatives, calling it a planned, ""savage killing"", and demanded Riyadh punish those responsible no matter how highly placed.",2018-10-23T14:47:40Z,"{'id': 'reuters', 'name': 'Reuters'}",Turkey: Saudi hunt for Kashoggi killers must go 'top to bottom',https://www.reuters.com/article/us-saudi-khashoggi-turkey/turkey-saudi-hunt-for-kashoggi-killers-must-go-top-to-bottom-idUSKCN1MX1EA,https://s3.reutersmedia.net/resources/r/?m=02&d=20181023&t=2&i=1317760231&w=1200&r=LYNXNPEE9M0QP
2,John Haltiwanger,"A friend of Saudi journalist Jamal Khashoggi said they were working on a secret project together that the Saudi government apparently knew about before he disappeared. Omar Abdulaziz, a 27-year-old Saudi national and opposition activist, told The Washington P… [+2650 chars]","A friend of missing Saudi journalist Jamal Khashoggi said they were working on a secret project together that the Saudi government apparently knew about before he disappeared. The project, dubbed ""the bees,"" aimed to build an online army by providing Saudi ac…",2018-10-18T19:19:14Z,"{'id': 'business-insider', 'name': 'Business Insider'}",'I’m not going to stop': Friend of missing journalist Khashoggi says Saudi government knew about a 'dangerous' secret project they were working on,https://www.businessinsider.com/khashoggis-says-saudis-knew-about-secret-project-they-were-working-on-2018-10,https://amp.businessinsider.com/images/5bc8d26bf5d5cc19fd4f8f17-1920-960.jpg
3,John Haltiwanger,"Saudi journalist Jamal Khashoggi had a long, complicated career before he went missing in early October. Khashoggi, who was a US resident and wrote for The Washington Post, disappeared on October 2 after entering the Saudi consulate in Istanbul to obtain docu… [+6432 chars]","Saudi journalist Jamal Khashoggi had a long, complicated career before he went missing in early October after entering the Saudi consulate in Istanbul. Khashoggi went from interviewing Osama bin Laden in the 1980s to becoming one of the most prominent journal…",2018-10-15T21:22:33Z,"{'id': 'business-insider', 'name': 'Business Insider'}",Missing journalist Jamal Khashoggi had a complicated past involving interviews with Osama bin Laden and close ties to the Saudi royal family,https://www.businessinsider.com/missing-saudi-journalist-jamal-khashoggi-ties-to-osama-bin-laden-islamists-2018-10,https://amp.businessinsider.com/images/5bc031198053836302721556-2732-1366.jpg
4,David Gauthier-Villars,"ISTANBULTurkish police believe the Saudi journalist gone missing earlier this week was killed inside the kingdoms consulate in Istanbul before his body was spirited out of the building, Turkish officials said, accusations that could further inflame relations … [+5384 chars]","Wall Street Journal Missing Saudi Journalist Was Killed in Consulate, Turkish Police Say Wall Street Journal ISTANBUL—Turkish police believe the Saudi journalist gone missing earlier this week was killed inside the kingdom's consulate in Istanbul before his b…",2018-10-07T07:34:00Z,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}","Missing Saudi Journalist Was Killed in Consulate, Turkish Police Say - Wall Street Journal",https://www.wsj.com/articles/missing-saudi-journalist-was-killed-in-consulate-turkish-police-say-1538897699,https://images.wsj.net/im-29748/social
5,Associated Press,"(JAKARTA, Indonesia) — Saudi Arabia’s foreign minister says the investigation into the killing of journalist Jamal Khashoggi will produce the truth about what happened. He also pledged that mechanisms will be put in place so that “something like this can neve… [+573 chars]",Saudi Arabia's foreign minister says the investigation into the killing of journalist Jamal Khashoggi will produce the truth about what happened,2018-10-23T06:47:06Z,"{'id': 'time', 'name': 'Time'}",‘Those Responsible Will Be Held to Account.’ Saudi Arabia Foreign Minister Promises Truth From Khashoggi Probe,http://time.com/5431677/saudi-arabia-foreign-minister-khashoggi-probe/,https://timedotcom.files.wordpress.com/2018/10/gettyimages-1052430210.jpg?quality=85
6,S.V. Date,"WASHINGTON The American president who has made a habit of calling news media “the enemy of the people” is now facing a possible consequence of his words: the disappearance, perhaps murder, of a Washington-based journalist at the hands of one of the president’… [+5727 chars]","Jamal Khashoggi’s fate may be tied to the president’s habit of attacking the press, now mimicked by autocrats worldwide.",2018-10-11T23:02:46Z,"{'id': 'the-huffington-post', 'name': 'The Huffington Post'}",Trump Calls Media ‘Enemy Of The People.’ Maybe The Saudis Took Him Literally.,https://www.huffingtonpost.com/entry/trump-enemy-of-the-people-saudi-arabia_us_5bbfb704e4b0bd9ed5583931,https://img.huffingtonpost.com/asset/5bbfb7f33c000066000e1941.jpeg?cache=rTRi7ItZAE&ops=1200_630
7,"Joshua Keating, Joshua Keating",What Kavanaughs Drinking Tells Us About His Credibility Theres Nothing Like Seeing a Headline About the President Inheriting a Fortune via Fraud and Knowing Hell Definitely Get Away With It New Book: McConnell Threatened to Frame Pre-Election Intelligence Abo… [+7292 chars],Why almost everyone stands a better chance at winning than Donald Trump.,2018-10-03T21:18:36Z,"{'id': None, 'name': 'Slate.com'}",Who Will Win the 2018 Nobel Peace Prize?,https://slate.com/news-and-politics/2018/10/nobel-peace-prize-2018-predictions-moon-jae-in-kim-jong-un-george-soros.html,https://compote.slate.com/images/78b634e2-6515-4480-85fc-0e4286362a1f.jpeg?width=780&height=520&rect=1560x1040&offset=0x0
8,Mark DeCambre,"U.S. stocks appeared set to kick of Friday trade solidly higher as a rebound in Chinas main equity benchmarks assuaged dread about waning global growth, even as Beijing reported the worst rate of economic expansion since 2009. Fridays action also comes on the… [+4592 chars]","U.S. stocks appear set to kick of Friday trade solidly higher as a rebound in China’s main equity benchmarks assuage dread about waning global growth, even as Beijing reports the worst rate of economic expansion since 2009.",2018-10-19T12:20:38Z,"{'id': None, 'name': 'Marketwatch.com'}",Market Snapshot: Dow poised to jump 100 points at the open as stock market aims to follow China rebound,https://www.marketwatch.com/story/dow-poised-to-jump-100-points-at-the-open-as-stock-market-aims-to-follow-china-rebound-2018-10-19,http://s.marketwatch.com/public/resources/MWimages/MW-FW118_1987_w_MG_20171012091026.jpg
9,Michael Ballaban,"Fords looming layoffs, a Chinese electric car company is actually selling cars, and Sears is nearly dead. This is The Morning Shift for October 15, 2018. 1st Gear: Ford In Trouble Layoffs suck, obviously, but theres usually a standard methodology to it. The b… [+8773 chars]","Ford’s looming layoffs, a Chinese electric car company is actually selling cars, and Sears is nearly dead. This is The Morning Shift for October 15, 2018. Read more...",2018-10-15T14:23:00Z,"{'id': None, 'name': 'Jalopnik.com'}",Ford's Layoff Plan Is Making A Ton Of People Nervous: Report,https://jalopnik.com/fords-layoff-plan-is-making-a-ton-of-people-nervous-re-1829751888,"https://i.kinja-img.com/gawker-media/image/upload/s--b4Vojh0q--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/dum7faxja5lfndedzbsa.jpg"
10,Al Jazeera,"With a growing chorus of global leaders calling for an investigation into the disappearance and alleged murder of Saudi journalist Jamal Khashoggi inside Riyadh's consulate in Istanbul last week, Al Jazeera's UpFront looks back to a March interview with the m… [+30235 chars]","In his last interview with Al Jazeera UpFront, the Saudi journalist spoke on the need for debate in Saudi Arabia.",2018-10-10T13:47:43Z,"{'id': 'al-jazeera-english', 'name': 'Al Jazeera English'}",Khashoggi on life under MBS: 'Nobody dares to speak',https://www.aljazeera.com/indepth/features/khashoggi-life-mbs-dares-speak-181010065141849.html,https://www.aljazeera.com
11,Al Jazeera,"The disappearance of Saudi journalist Jamal Khashoggi has put the spotlight on Saudi Arabia's Crown Prince Mohammed bin Salman, or MBS. Since he outmaneuvered his rivals to become Saudi Arabia's de-facto leader in 2015, the 33-year-old has received favourable… [+15453 chars]","Touted as Saudi Arabia's progressive reformer, Mohammed bin Salman has an ominous human rights record.",2018-10-15T19:37:35Z,"{'id': 'al-jazeera-english', 'name': 'Al Jazeera English'}",Mohammed bin Salman: The dark side of Saudi Arabia's crown prince,https://www.aljazeera.com/news/2018/10/mohammed-bin-salman-dark-side-saudi-arabia-crown-prince-181015123719153.html,https://www.aljazeera.com/mritems/Images/2018/10/15/5fdd98e8a37f4a6694195194d883149a_18.jpg
12,Tim Fernholz,Donald Trump explained succinctly last week why he wont do much about the apparent murder of a US permanent resident by the Saudi Arabian government. We dont like it even a little bit. But as to whether or not we should stop $110 billion from being spent in t… [+4003 chars],"For the US president, it's a simple calculus: Arms deals over disrupting his administration's relationship with the kingdom. But his numbers don't add up.",2018-10-15T19:18:24Z,"{'id': None, 'name': 'Qz.com'}",Donald Trump put a $110-billion price on Jamal Kashoggi’s life,https://qz.com/1424804/saudi-arabias-money-means-more-to-trump-than-kashoggis-life/,https://cms.qz.com/wp-content/uploads/2018/10/Donald-Trump-Jamal-Kashoggi-Saudi-Arabia-yemen-arms-weapons-sales.jpg?quality=75&strip=all&w=1400
