score,author,content,description,publishedAt,source,title,url,urlToImage
125,Jonathan Small,"October 17, 2018 4 min read October 17 is a day that will live in weed infamy. Canada becomes only the second country in the world to legalize the plant. In many ways what's happening up North is a dress rehearsal for what could happen in the U.S. when the fe… [+3435 chars]",Weed goes legal in Canada today. Read this before you spark a northern light.,2018-10-17T12:00:00Z,"{'id': None, 'name': 'Greenentrepreneur.com'}",7 Interesting Things to Know About Canada's Legalization of Marijuana,https://www.greenentrepreneur.com/article/321707,https://assets.entrepreneur.com/content/3x2/2000/20181015132434-GettyImages-881904200.jpeg
126,Conrad Martin,"October 19, 2018 2 min read Welcome to Green Entrepreneur's video recap of the cannabis news you might have missed this week, hosted by our cannabis correspondent Conrad Martin. Canada Federally Legalizes Recreational Marijuana Wednesday was a historic day as… [+1142 chars]",Canada legalizes Cannabis -- then it almost sells out of it.,2018-10-19T17:22:00Z,"{'id': None, 'name': 'Greenentrepreneur.com'}",This Week in Weed: Canada Legalizes Cannabis!,https://www.greenentrepreneur.com/video/322020,https://assets.entrepreneur.com/content/3x2/2000/20181019161535-weed-week-2000x1334-101918.jpeg
127,Conrad Martin,"September 28, 2018 2 min read Welcome to Green Entrepreneur's video recap of the cannabis news you might have missed this week, hosted by our dope correspondent Conrad Martin. Canada Plans to Allow Public Smoking (where tobacco is allowed) On Wednesday, Ontar… [+1066 chars]","Ontario loosens up consumption laws, a lobster pound is in hot water, and pro-pot political candidates.",2018-09-28T16:19:00Z,"{'id': None, 'name': 'Greenentrepreneur.com'}",This Week in Weed: Canada 'Okays' Public Smoking!,https://www.greenentrepreneur.com/video/320846,https://assets.entrepreneur.com/content/3x2/2000/20180928160406-weed-week-2000x1334-92818.jpeg
128,Jonathan Small,"October 10, 2018 2 min read ""Attention Walmart shoppers: CBD is now on sale in aisle four."" It may sound crazy but the possibility of that phrase actually being uttered on a Walmart PA system is a little closer to reality -- at least in Canada. In an i ntervi… [+1670 chars]",A company spokesperson reveals that the retail giant is on a CBD fact-finding mission.,2018-10-10T20:48:00Z,"{'id': None, 'name': 'Greenentrepreneur.com'}",Walmart Just Said It's Exploring Selling Cannabis Products,https://www.greenentrepreneur.com/article/321518,https://assets.entrepreneur.com/content/3x2/2000/20141226162104-walmart-piloting-exchange-program-unwanted-holiday-gift-cards.jpeg
129,Drake Sutton-Shearer,"Opinions expressed by Green Entrepreneur contributors are their own. Cannabis legalization is poised to have a huge, positive impact on Canadian society -- now that the simple and commonplace act of lighting a joint or consuming a soft gel capsule is no longe… [+6182 chars]","The country's legalization of cannabis was a big step forward, but they still have a long way to go.",2018-10-22T12:01:00Z,"{'id': None, 'name': 'Greenentrepreneur.com'}",5 Surprising Truths About Canadian Legalization,https://www.greenentrepreneur.com/article/322070,https://assets.entrepreneur.com/content/3x2/2000/20181021211951-autumn-background-board-220116.jpeg
130,Bethany Gomez,"October 5, 2018 4 min read Opinions expressed by Green Entrepreneur contributors are their own. There have been rumors and warnings of large CPG (consumer packaged goods) companies jumping into the industry and crushing all the little guys since I started wor… [+3997 chars]",Not all of hype about mammoth companies staking corners in the cannabis market is accurate but the trend is clear.,2018-10-05T12:00:00Z,"{'id': None, 'name': 'Greenentrepreneur.com'}",Which Big Consumer Product Companies Really Are Entering the Cannabis Industry?,https://www.greenentrepreneur.com/article/321164,https://assets.entrepreneur.com/content/3x2/2000/20181004203109-lagunitas-hifihops-promo.jpeg
131,David Elias,"October 17, 2018 4 min read Opinions expressed by Green Entrepreneur contributors are their own. Major global trends tend to originate from a handful of influential regions and cities worldwide. In the case of cannabis, Los Angeles has always been ground zero… [+4498 chars]",Influencers can loosen the shackles that still restrict cannabis marketing.,2018-10-17T18:30:00Z,"{'id': None, 'name': 'Greenentrepreneur.com'}",Using the Power of Influence to Build Your Global Cannabis Brand,https://www.greenentrepreneur.com/article/321784,https://assets.entrepreneur.com/content/3x2/2000/20181016202741-GettyImages-536989145.jpeg
132,Eric Schlissel,"October 5, 2018 7 min read Opinions expressed by Green Entrepreneur contributors are their own. Cannabis business owners have to hit the ground running as soon as they get their licenses, but neglecting to develop a robust, scalable IT infrastructure will kee… [+7466 chars]","Even if you're small, you're data infrastructure has to be robust.",2018-10-05T18:00:00Z,"{'id': None, 'name': 'Greenentrepreneur.com'}",Overlooking This One Thing Can Stop Your Cannabis Business in Its Tracks,https://www.greenentrepreneur.com/article/321197,https://assets.entrepreneur.com/content/3x2/2000/20181004210949-GettyImages-1039566880-crop.jpeg
133,,"U.S. President Donald Trump claims he rejected a meeting with Prime Minister Justin Trudeau to discuss NAFTA. Plus, a Nova Scotia widower is set to ring in his 93rd birthday with a barrage of cards from around the world. 1. Trade tensions: U.S. President Trum… [+813 chars]","CTV News 5 things to know for Thursday, September 27, 2018 CTV News U.S. President Donald Trump claims he rejected a meeting with Prime Minister Justin Trudeau to discuss NAFTA. Plus, a Nova Scotia widower is set to ring in his 93rd birthday with a barrage of…",2018-09-27T10:36:00Z,"{'id': None, 'name': 'Ctvnews.ca'}","5 things to know for Thursday, September 27, 2018 - CTV News",https://www.ctvnews.ca/5things/5-things-to-know-for-thursday-september-27-2018-1.4111374,https://www.ctvnews.ca/polopoly_fs/1.2032983.1457436677!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg
134,Benjamin Haas in Seoul,"For South Koreans in Canada, the police in their home country have no problem harshing their mellow. Canada became the second country in the world to legalise recreational marijuana last week, but for South Koreans hoping to try the drug, their hopes have jus… [+2321 chars]","Seoul reminds 23,000 South Korean students in Canada that domestic law applies to them no matter where they are For South Koreans in Canada, the police in their home country have no problem harshing their mellow. Canada became the second country in the world …",2018-10-23T05:02:28Z,"{'id': 'the-guardian-au', 'name': 'The Guardian (AU)'}",Bong arm of the law: South Korea says it will arrest citizens who smoke weed in Canada,https://www.theguardian.com/world/2018/oct/23/bong-arm-of-the-law-south-korea-says-it-will-arrest-citizens-who-smoke-weed-in-canada,https://i.guim.co.uk/img/media/49821ca6ed1b1a639530f09798bd35bbaeb9be29/0_346_5184_3110/master/5184.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&s=998e63899b394441f416388a4989380b
